source,count,mean,std,max,min,sum
HSPA8,156,0.4021911746190705,0.11334851466051299,0.788627429459,0.279930415944,62.741823240575
PRKCA,156,0.359106628598141,0.09724173162890375,0.99,0.246743830368,56.02063406131
HDAC3,155,0.4046838845379484,0.09239789190359671,0.741969537819,0.246936166436,62.726002103382
SIN3A,154,0.4074242664101883,0.11563326332325498,0.846975659501,0.279930415944,62.743337027169
MAPK8,154,0.35817639906975973,0.08643818520976225,0.701162703926,0.246936166436,55.159165456743
CALCOCO2,153,0.3638749742246863,0.10298781461186869,0.7368003683,0.279930415944,55.672871056377
ILF2,152,0.3386262863898684,0.057193644998409114,0.757709104213,0.279930415944,51.47119553126
SNCA,151,0.37733257858920527,0.12392054157708916,0.796119877492,0.246936166436,56.97721936697
RAC1,151,0.3607334370779801,0.11055212455117938,0.780259080893,0.246936166436,54.470748998775
MAPK14,151,0.3569650984542583,0.09595420338019961,0.693849223974,0.244957679172,53.901729866593
uniprotkb:A4D127,151,0.46474605043715234,0.027156601868815175,0.539792829619,0.380279240012,70.17665361601
TRIM23,150,0.3879480657759133,0.09892807062822881,0.638447632444,0.279930415944,58.192209866386996
SUMO3,149,0.3999524536756711,0.09546537192884907,0.792023358691,0.246936166436,59.592915597674995
NEDD4L,149,0.3448538865028859,0.1255070205814791,0.99,0.279930415944,51.38322908893
TBP,149,0.38965401763042956,0.13127177860153214,0.904694917576,0.246936166436,58.058448626934
SIAH1,148,0.4365482946867635,0.10263502976710702,0.748722422406,0.279930415944,64.609147613641
